ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species
bn_ASV_000646	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_OM60	uncultured_marine_bacterium
bn_ASV_000650	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium_angustum
bn_ASV_000652	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_marine_bacterium
bn_ASV_000653	nano	Bacteria	Proteobacteria	Proteobacteria	Deltaproteobacteria	Deltaproteobacteria_NB1-j	Deltaproteobacteria_NB1-j	Deltaproteobacteria_NB1-j	uncultured_bacterium
bn_ASV_000667	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7	uncultured_gamma_proteobacterium
bn_ASV_000668	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_sp._BAL3
bn_ASV_000669	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	uncultured_Mycoplana_sp
bn_ASV_000675	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_Ia	uncultured_marine_bacterium
bn_ASV_000678	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	uncultured_gamma_proteobacterium
bn_ASV_000679	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales_DEV007	Verrucomicrobiales_DEV007	uncultured_bacterium
bn_ASV_000680	nano	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS2b	uncultured_marine_bacterium
bn_ASV_000681	nano	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	uncultured_bacterium
bn_ASV_000687	nano	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	uncultured_bacterium
bn_ASV_000689	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	marine_metagenome
bn_ASV_000691	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_X	uncultured_marine_bacterium
bn_ASV_000692	nano	Bacteria	Nitrospinae	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	LS-NOB	uncultured_proteobacterium
bn_ASV_000695	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	uncultured_bacterium
bn_ASV_000698	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	unidentified_marine_bacterioplankton
bn_ASV_000701	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium
bn_ASV_000709	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	Verrucomicrobiae_Arctic97B-4	marine_metagenome
bn_ASV_000717	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_I	uncultured_bacterium
bn_ASV_000718	nano	Bacteria	Verrucomicrobia	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	MB11C04_marine_group	uncultured_marine_bacterium
bn_ASV_000720	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_I	SAR11_Clade_I	uncultured_bacterium
bn_ASV_000726	nano	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
